id_entrega,id_mensajero,fecha,ciudad,zona,distancia_km,tiempo_entrega_minutos,valor_paquete,estado,calificacion_cliente,tipo_vehiculo,experiencia_mensajero
E10000,M029,2024-01-04 14:15:00,Bucaramanga,Norte,10.0,41.6,73300.0,Dañado,,Moto,3-5 años
E10001,M058,2024-01-18 09:43:00,Bogotá,Chapinero,13.1,56.5,160800.0,Entregado,5.0,Moto,>5 años
E10002,M140,2024-01-12 19:02:00,Cali,Granada,6.9,55.6,312500.0,Dañado,,Moto,1-3 años
E10003,M008,2024-01-12 12:14:00,Cali,Chipichape,3.2,14.6,351800.0,Entregado,4.8,Moto,1-3 años
E10004,M130,2024-03-18 06:35:00,Bogotá,Chapinero,7.1,24.0,47200.0,Entregado,4.4,Camioneta,3-5 años
E10005,M051,2024-03-24 19:14:00,Medellín,Bello,4.6,19.0,30000.0,Entregado,4.6,Moto,3-5 años
E10006,M115,2024-03-16 14:51:00,Barranquilla,Siape,9.3,29.1,55200.0,Entregado,5.0,Moto,>5 años
E10007,M002,2024-01-21 19:21:00,Cali,Chipichape,9.4,39.4,191500.0,Entregado,4.6,Moto,1-3 años
E10008,M072,2024-01-20 12:48:00,MEDELLIN,Laureles,9.7,31.2,62500.0,Entregado,4.5,Moto,>5 años
E10009,M087,2024-01-14 08:24:00,Bucaramanga,Cabecera,8.0,42.1,178000.0,Entregado,4.4,Moto,<1 año
E10010,M025,2024-02-15 17:38:00,Cali,San Fernando,3.2,11.5,187900.0,Entregado,4.9,Moto,>5 años
E10011,M068,2024-01-06 20:34:00,Cali,Centro,5.0,15.6,426900.0,Entregado,5.0,Moto,1-3 años
E10012,M032,2024-02-18 08:35:00,Bogotá,Suba,10.3,102.8,410400.0,Entregado,2.7,Moto,<1 año
E10013,M076,2024-03-21 17:36:00,Bogotá,Chapinero,12.6,62.4,370800.0,Entregado,3.7,Camioneta,3-5 años
E10014,M050,2024-03-31 08:02:00,Medellín,Centro,7.6,48.1,279000.0,Entregado,4.7,Moto,1-3 años
E10015,M059,2024-02-07 08:54:00,Barranquilla,Siape,3.5,23.7,375500.0,Entregado,4.7,Moto,1-3 años
E10016,M060,2024-01-13 18:17:00,Bogotá,Usaquén,6.2,33.0,108800.0,Entregado,4.2,Moto,1-3 años
E10017,M117,2024-03-22 17:10:00,Bucaramanga,Floridablanca,7.3,49.3,450800.0,Entregado,4.5,Moto,1-3 años
E10018,M095,2024-02-15 12:42:00,Medellín,El Poblado,5.1,19.9,470500.0,Entregado,4.6,Moto,1-3 años
E10019,M069,2024-03-30 08:38:00,Barranquilla,Siape,8.7,58.6,80100.0,Entregado,4.2,Moto,>5 años
E10020,M044,2024-03-09 13:10:00,Barranquilla,Centro,7.1,40.1,83500.0,Entregado,4.7,Moto,1-3 años
E10021,M119,2024-02-18 14:59:00,Medellín,Envigado,9.2,48.8,206400.0,Entregado,4.9,Moto,<1 año
E10022,M143,2024-01-29 16:53:00,Cali,Centro,3.5,11.1,460200.0,Entregado,4.3,Moto,<1 año
E10023,M015,2024-01-30 07:51:00,Barranquilla,Norte,9.6,54.0,65500.0,Perdido,,Moto,1-3 años
